"Date/Time","Lat","Lon","Base","Distance"
"8/3/2014 17:34:00",40.7682,-73.8623,"B02512",1382.32869643673
"8/3/2014 17:40:00",40.7611,-73.9016,"B02512",2916.84212360971
"8/3/2014 17:54:00",40.7683,-73.8617,"B02512",1411.2880224662
"8/3/2014 17:59:00",40.7686,-73.8627,"B02512",1327.09335849434
"8/3/2014 18:11:00",40.7739,-73.8722,"B02512",366.814708405038
"8/3/2014 18:16:00",40.7723,-73.8729,"B02512",520.398210698818
"8/3/2014 18:19:00",40.7754,-73.9096,"B02512",3005.67107667741
"8/3/2014 18:29:00",40.7672,-73.887,"B02512",1538.52866127433
"8/3/2014 18:56:00",40.7688,-73.8623,"B02512",1336.38025563568
"8/3/2014 19:36:00",40.7741,-73.8723,"B02512",343.061177101424
"8/3/2014 20:13:00",40.7739,-73.8719,"B02512",377.978213961073
"8/3/2014 20:52:00",40.7675,-73.8816,"B02512",1226.9741140697
"8/3/2014 20:55:00",40.7739,-73.8731,"B02512",342.468178859728
"8/3/2014 21:00:00",40.7737,-73.8715,"B02512",413.895608440737
"8/3/2014 21:13:00",40.7739,-73.8715,"B02512",394.896600371169
"8/3/2014 22:45:00",40.7739,-73.8723,"B02512",363.408567228088
"8/3/2014 23:08:00",40.7738,-73.8717,"B02512",395.828707259843
"8/4/2014 5:17:00",40.7558,-73.9161,"B02512",4256.28459300328
"8/4/2014 6:00:00",40.7731,-73.886,"B02512",1096.48360120419
"8/4/2014 6:02:00",40.7702,-73.8648,"B02512",1076.01033369377
"8/4/2014 6:09:00",40.7494,-73.9169,"B02512",4738.67094003825
"8/4/2014 6:16:00",40.7692,-73.8657,"B02512",1106.48932712464
"8/4/2014 7:23:00",40.7706,-73.8654,"B02512",1008.69015836546
"8/4/2014 7:27:00",40.7733,-73.8859,"B02512",1080.25391946806
"8/4/2014 7:39:00",40.7741,-73.8724,"B02512",339.626063384214
"8/4/2014 8:01:00",40.774,-73.8724,"B02512",349.870471545664
"8/4/2014 8:17:00",40.774,-73.8725,"B02512",346.707892923361
"8/4/2014 8:20:00",40.7752,-73.9197,"B02512",3857.09590778923
"8/4/2014 8:31:00",40.7705,-73.8653,"B02512",1022.49167345262
"8/4/2014 8:59:00",40.7732,-73.8705,"B02512",506.657003802792
"8/4/2014 9:02:00",40.77,-73.8646,"B02512",1103.60489552622
"8/4/2014 9:16:00",40.7739,-73.8725,"B02512",357.096183416598
"8/4/2014 9:38:00",40.7386,-73.8492,"B02512",4748.76738603684
"8/4/2014 9:40:00",40.773,-73.8857,"B02512",1077.63278974801
"8/4/2014 9:40:00",40.773,-73.8857,"B02512",1077.63278974801
"8/4/2014 10:00:00",40.7685,-73.8625,"B02512",1346.95237500493
"8/4/2014 10:21:00",40.7688,-73.8877,"B02512",1465.24589589561
"8/4/2014 11:13:00",40.7499,-73.8909,"B02512",3326.28682634639
"8/4/2014 11:16:00",40.8106,-73.908,"B02512",4720.59047720103
"8/4/2014 11:49:00",40.7738,-73.8715,"B02512",404.354460276029
"8/4/2014 12:55:00",40.774,-73.8725,"B02512",346.707892923361
"8/4/2014 13:35:00",40.7705,-73.8652,"B02512",1028.55533468957
"8/4/2014 13:48:00",40.7728,-73.8738,"B02512",456.721215968879
"8/4/2014 14:19:00",40.7742,-73.8724,"B02512",329.43925021201
"8/4/2014 14:41:00",40.7686,-73.8627,"B02512",1327.09335849434
"8/4/2014 15:10:00",40.7733,-73.8855,"B02512",1049.0147427933
"8/4/2014 15:44:00",40.7704,-73.8649,"B02512",1054.55016725873
"8/4/2014 16:07:00",40.7738,-73.8717,"B02512",395.828707259843
"8/4/2014 16:46:00",40.7701,-73.8646,"B02512",1095.88582460756
"8/4/2014 16:54:00",40.7488,-73.8937,"B02512",3541.72818356296
"8/4/2014 17:06:00",40.7684,-73.8625,"B02512",1354.70463352155
"8/4/2014 17:13:00",40.7737,-73.8717,"B02512",405.57046288397
"8/4/2014 17:52:00",40.8038,-73.9117,"B02512",4366.08740302781
"8/4/2014 18:35:00",40.771,-73.8661,"B02512",935.359262173322
"8/4/2014 19:25:00",40.7741,-73.8727,"B02512",330.398705616176
"8/4/2014 19:41:00",40.7739,-73.8724,"B02512",360.167560131121
"8/4/2014 19:49:00",40.7683,-73.8622,"B02512",1380.61378457219
"8/4/2014 19:58:00",40.773,-73.8856,"B02512",1069.92255305453
