"ruta";"fecha";"vuelo";"dia_sem";"sem_anio";"asientos";"pasajeros";"hora_despegue";"origen";"destino";"pasajero_conexion";"pasajero_negocio";"pasajeros_noshow"
"88";"LIMA - SAO PAULO";"2016-02-25";2417;4;9;126;125;"19:00:00";"SAO";"LIM";106;18;0
"89";"LIMA - SAO PAULO";"2016-02-18";2417;4;8;126;124;"19:00:00";"SAO";"LIM";102;4;0
"90";"LIMA - SAO PAULO";"2016-02-11";2417;4;7;126;118;"19:00:00";"SAO";"LIM";102;16;5
"91";"LIMA - SAO PAULO";"2016-02-04";2417;4;6;126;104;"19:00:00";"SAO";"LIM";87;17;1
"92";"LIMA - SAO PAULO";"2016-02-24";2417;3;9;126;123;"19:00:00";"SAO";"LIM";107;20;1
"93";"LIMA - SAO PAULO";"2016-02-17";2417;3;8;126;117;"19:00:00";"SAO";"LIM";106;15;4
"94";"LIMA - SAO PAULO";"2016-02-10";2417;3;7;126;122;"19:00:00";"SAO";"LIM";111;35;4
"95";"LIMA - SAO PAULO";"2016-02-03";2417;3;6;126;79;"19:00:00";"SAO";"LIM";67;18;1
"96";"LIMA - SAO PAULO";"2016-03-01";2417;2;10;126;120;"19:00:00";"SAO";"LIM";93;29;0
"97";"LIMA - SAO PAULO";"2016-02-23";2417;2;9;126;119;"19:00:00";"SAO";"LIM";95;3;6
"98";"LIMA - SAO PAULO";"2016-02-16";2417;2;8;126;122;"19:00:00";"SAO";"LIM";73;1;3
"99";"LIMA - SAO PAULO";"2016-02-09";2417;2;7;126;102;"19:00:00";"SAO";"LIM";57;7;10
"100";"LIMA - SAO PAULO";"2016-02-29";2417;1;10;126;116;"19:00:00";"SAO";"LIM";86;13;3
"101";"LIMA - SAO PAULO";"2016-02-22";2417;1;9;126;116;"19:00:00";"SAO";"LIM";98;15;6
"102";"LIMA - SAO PAULO";"2016-02-15";2417;1;8;150;116;"19:00:00";"SAO";"LIM";83;8;1
"103";"LIMA - SAO PAULO";"2016-02-08";2417;1;7;126;114;"19:00:00";"SAO";"LIM";101;18;5
"104";"LIMA - SAO PAULO";"2016-02-28";2418;7;9;144;103;"12:50:00";"LIM";"SAO";70;2;8
"105";"LIMA - SAO PAULO";"2016-02-21";2418;7;8;144;99;"12:50:00";"LIM";"SAO";74;5;16
"106";"LIMA - SAO PAULO";"2016-02-14";2418;7;7;144;136;"12:50:00";"LIM";"SAO";107;14;7
"107";"LIMA - SAO PAULO";"2016-02-07";2418;7;6;144;126;"12:50:00";"LIM";"SAO";103;6;6
"108";"LIMA - SAO PAULO";"2016-02-27";2418;6;9;144;83;"12:50:00";"LIM";"SAO";56;9;26
"109";"LIMA - SAO PAULO";"2016-02-20";2418;6;8;144;81;"12:50:00";"LIM";"SAO";70;1;19
"110";"LIMA - SAO PAULO";"2016-02-13";2418;6;7;144;119;"12:50:00";"LIM";"SAO";87;4;5
"111";"LIMA - SAO PAULO";"2016-02-06";2418;6;6;144;72;"12:50:00";"LIM";"SAO";54;6;3
"112";"LIMA - SAO PAULO";"2016-02-26";2418;5;9;144;134;"12:50:00";"LIM";"SAO";113;15;2
"113";"LIMA - SAO PAULO";"2016-02-19";2418;5;8;144;118;"12:50:00";"LIM";"SAO";105;3;2
"114";"LIMA - SAO PAULO";"2016-02-12";2418;5;7;144;110;"12:50:00";"LIM";"SAO";81;4;12
"115";"LIMA - SAO PAULO";"2016-02-05";2418;5;6;144;125;"12:50:00";"LIM";"SAO";111;9;11
"116";"LIMA - SAO PAULO";"2016-02-25";2418;4;9;126;81;"12:50:00";"LIM";"SAO";69;5;34
"117";"LIMA - SAO PAULO";"2016-02-18";2418;4;8;126;102;"12:50:00";"LIM";"SAO";91;0;11
"118";"LIMA - SAO PAULO";"2016-02-11";2418;4;7;126;96;"12:50:00";"LIM";"SAO";84;1;9
"119";"LIMA - SAO PAULO";"2016-02-04";2418;4;6;150;112;"12:50:00";"LIM";"SAO";101;5;9
"120";"LIMA - SAO PAULO";"2016-02-24";2418;3;9;126;79;"12:50:00";"LIM";"SAO";68;1;21
"121";"LIMA - SAO PAULO";"2016-02-17";2418;3;8;126;88;"12:50:00";"LIM";"SAO";68;4;5
"122";"LIMA - SAO PAULO";"2016-02-10";2418;3;7;126;92;"12:50:00";"LIM";"SAO";80;5;14
"123";"LIMA - SAO PAULO";"2016-02-03";2418;3;6;126;90;"12:50:00";"LIM";"SAO";70;1;1
"124";"LIMA - SAO PAULO";"2016-03-01";2418;2;10;126;84;"12:50:00";"LIM";"SAO";75;2;25
"125";"LIMA - SAO PAULO";"2016-02-23";2418;2;9;126;95;"12:50:00";"LIM";"SAO";64;2;14
"126";"LIMA - SAO PAULO";"2016-02-16";2418;2;8;126;105;"12:50:00";"LIM";"SAO";94;2;12
"127";"LIMA - SAO PAULO";"2016-02-09";2418;2;7;126;102;"12:50:00";"LIM";"SAO";92;2;5
"128";"LIMA - SAO PAULO";"2016-02-29";2418;1;10;126;108;"12:50:00";"LIM";"SAO";95;0;11
"129";"LIMA - SAO PAULO";"2016-02-22";2418;1;9;126;78;"12:50:00";"LIM";"SAO";56;0;19
"130";"LIMA - SAO PAULO";"2016-02-15";2418;1;8;126;99;"12:50:00";"LIM";"SAO";80;8;4
"131";"LIMA - SAO PAULO";"2016-02-08";2418;1;7;126;106;"12:50:00";"LIM";"SAO";83;4;8
"132";"LIMA - SAO PAULO";"2016-01-02";1468;6;53;150;143;"08:27:00";"LIM";"SAO";136;10;6
"133";"LIMA - SAO PAULO";"2016-01-02";1469;6;53;150;98;"04:15:00";"SAO";"LIM";77;0;5
"134";"LIMA - SAO PAULO";"2016-01-02";2417;6;53;150;44;"19:00:00";"SAO";"LIM";37;0;3
"135";"LIMA - SAO PAULO";"2016-01-02";2418;6;53;150;125;"12:50:00";"LIM";"SAO";92;1;11
"136";"LIMA - SAO PAULO";"2016-01-01";1467;5;53;150;110;"12:44:00";"SAO";"LIM";85;2;15
"137";"LIMA - SAO PAULO";"2016-01-01";1468;5;53;150;144;"08:27:00";"LIM";"SAO";136;11;6
"138";"LIMA - SAO PAULO";"2016-01-01";1469;5;53;150;119;"04:15:00";"SAO";"LIM";104;2;3
"139";"LIMA - SAO PAULO";"2016-01-01";1470;5;53;150;144;"19:00:00";"LIM";"SAO";44;6;1
"140";"LIMA - SAO PAULO";"2016-01-01";2417;5;53;150;126;"19:00:00";"SAO";"LIM";121;6;9
"141";"LIMA - SAO PAULO";"2016-01-01";2418;5;53;150;146;"12:50:00";"LIM";"SAO";142;18;2
"142";"LIMA - SAO PAULO";"2016-01-31";2417;7;5;126;113;"19:00:00";"SAO";"LIM";85;7;0
"143";"LIMA - SAO PAULO";"2016-01-24";2417;7;4;144;114;"19:00:00";"SAO";"LIM";97;5;5
"144";"LIMA - SAO PAULO";"2016-01-17";2417;7;3;126;112;"19:00:00";"SAO";"LIM";92;8;2
"145";"LIMA - SAO PAULO";"2016-01-10";2417;7;2;126;128;"19:00:00";"SAO";"LIM";89;8;4
"146";"LIMA - SAO PAULO";"2016-01-03";2417;7;1;168;135;"19:00:00";"SAO";"LIM";106;3;5
"147";"LIMA - SAO PAULO";"2016-01-30";2417;6;5;168;122;"19:00:00";"SAO";"LIM";101;11;5
"148";"LIMA - SAO PAULO";"2016-01-23";2417;6;4;174;124;"19:00:00";"SAO";"LIM";68;5;2
"149";"LIMA - SAO PAULO";"2016-01-16";2417;6;3;126;97;"19:00:00";"SAO";"LIM";82;4;2
"150";"LIMA - SAO PAULO";"2016-01-09";2417;6;2;126;102;"19:00:00";"SAO";"LIM";83;2;1
"151";"LIMA - SAO PAULO";"2016-01-29";2417;5;5;144;141;"19:00:00";"SAO";"LIM";125;28;4
"152";"LIMA - SAO PAULO";"2016-01-22";2417;5;4;126;118;"19:00:00";"SAO";"LIM";103;23;3
"153";"LIMA - SAO PAULO";"2016-01-15";2417;5;3;150;122;"19:00:00";"SAO";"LIM";111;21;1
"154";"LIMA - SAO PAULO";"2016-01-08";2417;5;2;126;86;"19:00:00";"SAO";"LIM";78;2;4
"155";"LIMA - SAO PAULO";"2016-01-28";2417;4;5;126;121;"19:00:00";"SAO";"LIM";108;14;0
"156";"LIMA - SAO PAULO";"2016-01-21";2417;4;4;126;119;"19:00:00";"SAO";"LIM";105;2;0
"157";"LIMA - SAO PAULO";"2016-01-14";2417;4;3;126;118;"19:00:00";"SAO";"LIM";103;10;3
"158";"LIMA - SAO PAULO";"2016-01-07";2417;4;2;126;102;"19:00:00";"SAO";"LIM";82;5;0
"159";"LIMA - SAO PAULO";"2016-01-27";2417;3;5;126;118;"19:00:00";"SAO";"LIM";95;22;2
"160";"LIMA - SAO PAULO";"2016-01-20";2417;3;4;126;121;"19:00:00";"SAO";"LIM";96;18;6
"161";"LIMA - SAO PAULO";"2016-01-13";2417;3;3;126;120;"19:00:00";"SAO";"LIM";106;10;0
"162";"LIMA - SAO PAULO";"2016-01-06";2417;3;2;150;104;"19:00:00";"SAO";"LIM";102;0;3
"163";"LIMA - SAO PAULO";"2016-02-02";2417;2;6;126;117;"19:00:00";"SAO";"LIM";69;1;6
"164";"LIMA - SAO PAULO";"2016-01-26";2417;2;5;174;129;"19:00:00";"SAO";"LIM";87;11;3
"165";"LIMA - SAO PAULO";"2016-01-19";2417;2;4;126;117;"19:00:00";"SAO";"LIM";83;4;6
"166";"LIMA - SAO PAULO";"2016-01-12";2417;2;3;126;119;"19:00:00";"SAO";"LIM";100;4;2
"167";"LIMA - SAO PAULO";"2016-01-05";2417;2;2;126;118;"19:00:00";"SAO";"LIM";104;3;4
"168";"LIMA - SAO PAULO";"2016-02-01";2417;1;6;126;112;"19:00:00";"SAO";"LIM";93;14;10
"169";"LIMA - SAO PAULO";"2016-01-25";2417;1;5;150;122;"19:00:00";"SAO";"LIM";110;7;6
"170";"LIMA - SAO PAULO";"2016-01-18";2417;1;4;126;113;"19:00:00";"SAO";"LIM";98;7;5
"171";"LIMA - SAO PAULO";"2016-01-11";2417;1;3;126;91;"19:00:00";"SAO";"LIM";82;15;6
"172";"LIMA - SAO PAULO";"2016-01-04";2417;1;2;220;117;"19:00:00";"SAO";"LIM";89;29;4
"173";"LIMA - SAO PAULO";"2016-01-31";2418;7;5;126;110;"12:50:00";"LIM";"SAO";88;13;8
"174";"LIMA - SAO PAULO";"2016-01-24";2418;7;4;144;133;"12:50:00";"LIM";"SAO";109;25;3
"175";"LIMA - SAO PAULO";"2016-01-17";2418;7;3;126;115;"12:50:00";"LIM";"SAO";87;13;2
"176";"LIMA - SAO PAULO";"2016-01-10";2418;7;2;126;115;"12:50:00";"LIM";"SAO";107;14;3
"177";"LIMA - SAO PAULO";"2016-01-03";2418;7;1;168;135;"12:50:00";"LIM";"SAO";127;1;4
"178";"LIMA - SAO PAULO";"2016-01-30";2418;6;5;168;116;"12:50:00";"LIM";"SAO";92;4;11
"179";"LIMA - SAO PAULO";"2016-01-23";2418;6;4;174;164;"12:50:00";"LIM";"SAO";135;9;9
"180";"LIMA - SAO PAULO";"2016-01-16";2418;6;3;126;125;"12:50:00";"LIM";"SAO";114;8;2
"181";"LIMA - SAO PAULO";"2016-01-09";2418;6;2;126;121;"12:50:00";"LIM";"SAO";108;1;1
"182";"LIMA - SAO PAULO";"2016-01-29";2418;5;5;144;94;"12:50:00";"LIM";"SAO";87;6;30
"183";"LIMA - SAO PAULO";"2016-01-22";2418;5;4;126;122;"12:50:00";"LIM";"SAO";97;7;0
"184";"LIMA - SAO PAULO";"2016-01-15";2418;5;3;150;136;"12:50:00";"LIM";"SAO";124;11;1
"185";"LIMA - SAO PAULO";"2016-01-08";2418;5;2;126;126;"12:50:00";"LIM";"SAO";116;0;0
"186";"LIMA - SAO PAULO";"2016-01-28";2418;4;5;126;104;"12:50:00";"LIM";"SAO";93;2;14
"187";"LIMA - SAO PAULO";"2016-01-21";2418;4;4;126;121;"12:50:00";"LIM";"SAO";113;3;9
"188";"LIMA - SAO PAULO";"2016-01-14";2418;4;3;126;116;"12:50:00";"LIM";"SAO";102;8;7
"189";"LIMA - SAO PAULO";"2016-01-07";2418;4;2;126;111;"12:50:00";"LIM";"SAO";92;9;3
"190";"LIMA - SAO PAULO";"2016-01-27";2418;3;5;126;97;"12:50:00";"LIM";"SAO";80;8;17
"191";"LIMA - SAO PAULO";"2016-01-20";2418;3;4;126;118;"12:50:00";"LIM";"SAO";105;2;4
"192";"LIMA - SAO PAULO";"2016-01-13";2418;3;3;126;119;"12:50:00";"LIM";"SAO";111;10;0
"193";"LIMA - SAO PAULO";"2016-01-06";2418;3;2;150;113;"12:50:00";"LIM";"SAO";94;5;1
"194";"LIMA - SAO PAULO";"2016-02-02";2418;2;6;126;94;"12:50:00";"LIM";"SAO";79;2;11
"195";"LIMA - SAO PAULO";"2016-01-26";2418;2;5;174;107;"12:50:00";"LIM";"SAO";97;7;21
"196";"LIMA - SAO PAULO";"2016-01-19";2418;2;4;126;117;"12:50:00";"LIM";"SAO";108;5;7
"197";"LIMA - SAO PAULO";"2016-01-12";2418;2;3;126;125;"12:50:00";"LIM";"SAO";116;9;4
"198";"LIMA - SAO PAULO";"2016-01-05";2418;2;2;126;109;"12:50:00";"LIM";"SAO";90;2;6
"199";"LIMA - SAO PAULO";"2016-02-01";2418;1;6;126;119;"12:50:00";"LIM";"SAO";117;9;2
"200";"LIMA - SAO PAULO";"2016-01-25";2418;1;5;150;125;"12:50:00";"LIM";"SAO";107;2;7
"201";"LIMA - SAO PAULO";"2016-01-18";2418;1;4;126;126;"12:50:00";"LIM";"SAO";115;18;0
"202";"LIMA - SAO PAULO";"2016-01-11";2418;1;3;126;126;"12:50:00";"LIM";"SAO";85;44;0
"203";"LIMA - SAO PAULO";"2016-01-04";2418;1;2;220;113;"12:50:00";"LIM";"SAO";101;7;1
"204";"LIMA - SAO PAULO";"2016-08-21";2511;7;34;174;53;"22:30:00";"SAO";"LIM";32;2;1
"205";"LIMA - SAO PAULO";"2016-08-28";2553;7;35;174;163;"19:00:00";"SAO";"LIM";138;2;11
"206";"LIMA - SAO PAULO";"2016-08-21";2553;7;34;168;160;"19:00:00";"SAO";"LIM";131;5;7
"207";"LIMA - SAO PAULO";"2016-08-14";2553;7;33;168;164;"19:00:00";"SAO";"LIM";142;0;5
"208";"LIMA - SAO PAULO";"2016-08-07";2553;7;32;174;172;"19:00:00";"SAO";"LIM";115;18;0
"209";"LIMA - SAO PAULO";"2016-08-27";2553;6;35;174;173;"19:00:00";"SAO";"LIM";145;3;2
"210";"LIMA - SAO PAULO";"2016-08-20";2553;6;34;174;162;"19:00:00";"SAO";"LIM";146;9;7
"211";"LIMA - SAO PAULO";"2016-08-13";2553;6;33;174;174;"19:00:00";"SAO";"LIM";140;0;1
"212";"LIMA - SAO PAULO";"2016-08-06";2553;6;32;174;168;"19:00:00";"SAO";"LIM";152;11;4
